qseqid	hogid	overlap	family-score	subfamily-score	qseqlen	subfamily-medianseqlen
tr|A0A0K0PSV7|A0A0K0PSV7_SCLS1	na	na	na	na	176	na
tr|A0A0K0PSW1|A0A0K0PSW1_SCLS1	HOG:D0703691.2b	0.9228441754916793	0.46330267098431993	0.10202582427932327	662	659
tr|A0A0K0PSW3|A0A0K0PSW3_SCLS1	HOG:D0688896	0.1320754716981132	0.1217056850411419	0.1217056850411419	425	89
tr|A0A0K0PSW5|A0A0K0PSW5_SCLS1	HOG:D0688897.2a	0.7819905213270142	0.2669340594470817	0.2669340594470817	212	202
tr|A0A0K0PSW6|A0A0K0PSW6_SCLS1	na	na	na	na	295	na
tr|A0A0K0PSW8|A0A0K0PSW8_SCLS1	na	na	na	na	362	na
tr|A0A0K0PSW9|A0A0K0PSW9_SCLS1	HOG:D0432761	0.7584097859327217	0.07760835746006814	0.038820842510053265	328	270
tr|A0A0K0PSX0|A0A0K0PSX0_SCLS1	na	na	na	na	274	na
tr|A0A0K0PSX1|A0A0K0PSX1_SCLS1	na	na	na	na	285	na
tr|A0A0K0PSX3|A0A0K0PSX3_SCLS1	na	na	na	na	305	na
tr|A0A0K0PSX4|A0A0K0PSX4_SCLS1	na	na	na	na	375	na
tr|A0A0K0PSX6|A0A0K0PSX6_SCLS1	na	na	na	na	136	na
tr|A0A0K0PSX7|A0A0K0PSX7_SCLS1	na	na	na	na	360	na
tr|A0A0K0PSX8|A0A0K0PSX8_SCLS1	na	na	na	na	214	na
tr|A0A0K0PSX9|A0A0K0PSX9_SCLS1	na	na	na	na	420	na
tr|A0A0K0PSY2|A0A0K0PSY2_SCLS1	na	na	na	na	384	na
tr|A0A0K0PSY3|A0A0K0PSY3_SCLS1	na	na	na	na	323	na
tr|A0A0K0PSY4|A0A0K0PSY4_SCLS1	na	na	na	na	272	na
tr|A0A0K0PSY7|A0A0K0PSY7_SCLS1	HOG:D0901600	0.8449197860962567	0.5039681559680046	0.5039681559680046	375	356
tr|A0A0K0PSY8|A0A0K0PSY8_SCLS1	HOG:D0900561.6c	0.08163265306122448	0.050218962967725954	0.050218962967725954	344	534
tr|A0A0K0PSY9|A0A0K0PSY9_SCLS1	na	na	na	na	264	na
tr|A0A0K0PSZ1|A0A0K0PSZ1_SCLS1	na	na	na	na	1001	na
tr|A0A0K0PSZ3|A0A0K0PSZ3_SCLS1	HOG:D0679329.10jbl	0.8936605316973415	0.563922226297962	0.563922226297962	490	448
tr|A0A0K0PSZ4|A0A0K0PSZ4_SCLS1	HOG:D0432761.2a	0.5902777777777778	0.12946635256400998	0.10369010337451663	145	330
tr|A0A0K0PSZ8|A0A0K0PSZ8_SCLS1	na	na	na	na	281	na
tr|A0A0K0PT01|A0A0K0PT01_SCLS1	HOG:D0902164	0.8941176470588236	0.6363099474769137	0.6363099474769137	171	250
tr|A0A0K0PT03|A0A0K0PT03_SCLS1	na	na	na	na	753	na
tr|A0A0K0PT83|A0A0K0PT83_SCLS1	HOG:D0679329.10bbz	0.4263959390862944	0.07794771099909248	0.07794771099909248	198	494
tr|A0A0K0PT87|A0A0K0PT87_SCLS1	na	na	na	na	421	na
tr|A0A0K0PT92|A0A0K0PT92_SCLS1	na	na	na	na	392	na
tr|A0A0K0PT96|A0A0K0PT96_SCLS1	na	na	na	na	536	na
